"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2001",2001,3.6,4.3,5.4,10.2,17.4,17.8,23.1,22.3,16.1,15.4,8.2,3.1
"2002",2002,5.099999,7.6,8.6,11.2,17.1,20.1,21.9,24.2,19.9,11.5,6.8,1.4
"2003",2003,2.8,1.4,7.6,11.9,17.2,21.3,23.1,23.3,19.4,10.6,9.1,6.200001
"2004",2004,1.5,4.900001,7.7,12.7,15.7,17.8,19.9,22.6,18.7,13.4,8.3,5.8
"2005",2005,5.5,2.6,5.700001,12.5,16.2,19.1,22.3,20.1,20.1,15.5,8.2,4.4
"2006",2006,0.5,2.6,4.1,10.3,16.2,20.5,26.1,21.4,21.2,16.1,10.5,8.5
"2007",2007,7.6,4.6,10.4,14.5,17.4,20.4,20.5,21.4,17.3,12.7,7.6,5.3
"2008",2008,6,7.1,7.8,11.6,18.3,20.6,22.7,21.2,17.9,13.2,8.8,4.7
"2009",2009,2.5,3,7.4,14.7,16.9,18.1,22.6,23.2,19.5,11.3,9.6,2.9
"2010",2010,-1.3,1.3,7,11.9,13.2,19.3,25.4,21.3,17.4,12.5,6.8,-0.8999996
"2011",2011,3.1,2.5,7.2,15.1,17.6,20.7,20.2,20.9,19.3,14,8.2,6.7
"2012",2012,4.6,2.1,10,11.2,17.5,18.1,21.2,22.3,18.4,12.8,8.5,3
"2013",2013,2.7,2,2.7,10.8,16.5,19.4,23.4,22.8,17.2,14.7,8.5,7.2
"2014",2014,3.2,7.3,10.4,13.9,16.2,19.6,24.3,20.7,19.5,15.5,9.7,6
"2015",2015,5.099999,4.2,8.7,12.3,15.4,18.8,21.8,24,17.7,12.2,10.6,9.6
"2016",2016,2.5,5.9,7.3,11.1,18.4,21,22,21.8,21.9,11.7,7.1,6.4
"2017",2017,2.7,4.6,9.900001,10.6,17.4,20.4,20.6,21.7,17.4,14.6,8.6,5.9
"2018",2018,5.4,1.8,4.1,14.7,20.7,21.4,25,24.5,20.5,15.4,8.5,6.8
