"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1986",1986,66,11.4,43.4,30.3,51.1,44.7,83.3,52.1,42.9,50.8,46,69.3
"1987",1987,40.6,29.7,24.8,41.6,48.9,92.09999,104.8,59.9,73.4,20.7,62.5,39.7
"1988",1988,78.2,67.70001,55.6,19.5,34.3,46.6,101.1,34.6,50.6,43.5,38.7,49.40001
"1989",1989,10.4,24.5,47.1,40.6,8.899998,42.3,71.5,106.1,16,47.5,28,57
"1990",1990,40.9,44.1,37.4,24.6,32.2,78.7,42.6,56.1,104.5,30,74.4,40.3
"1991",1991,33.9,29.4,18.8,37.7,34.8,129.6,48.5,61,47.2,29,52.8,53.8
"1992",1992,30.9,28.5,66.59999,44.5,25.5,4.100002,56.8,82.3,28.3,38.4,85.1,32.3
"1993",1993,70.39999,28.1,13.4,22,41,53.2,111.7,61.7,100.7,42.3,33.3,90.5
"1994",1994,79.2,20.1,82.1,45.2,45.3,56.2,10.4,92.5,92.2,36.7,42.1,76.1
"1995",1995,73.9,56.2,45.6,38.9,54.2,66.1,46.10001,45.6,78.40001,20.6,26.4,25.9
"1996",1996,2.5,31.5,9.899998,17.4,75.6,32.5,64.4,47.3,44.9,34.8,53.4,20.9
"1997",1997,1.299999,54.8,26.4,29.5,76.3,71.1,70.3,36,27.8,54,32,42
"1998",1998,60.8,32,53.1,64.6,40.3,80.2,91.9,60.3,53.9,88.09999,47.7,49.6
"1999",1999,47.1,40.9,52,39.4,55.5,72.1,35.5,77.59999,32.2,33.7,25,98.2
"2000",2000,38.7,46.2,58.5,28.9,28.7,69.2,57.40001,48.3,68.7,30.8,38.8,41.1
"2001",2001,31.7,35.7,33.5,53,32.7,68.5,37.2,95.4,127.5,25.7,41.5,49.40001
"2002",2002,58.3,76,33,36.3,55.3,72.60001,87.5,79.59999,35.9,89.89999,56.8,17.9
"2003",2003,44.7,7.9,15.3,37.7,57.5,45,69.1,34.7,43.4,42.6,32.8,42.5
"2004",2004,60.5,43.7,32.9,29.9,26.4,72.60001,93.60001,70,49.2,45.9,48.1,39.7
"2005",2005,46.8,44.2,37.6,16.8,52.5,37.10001,84.4,44.8,30.9,34.9,35.9,54.3
"2006",2006,16.9,39.6,41.9,42.7,62.4,31.4,16.2,118,30.3,45.8,60.7,40
"2007",2007,88.6,51.8,41.7,6.200001,76.7,128.9,136.8,65.1,59,24.5,42.5,46.60001
"2008",2008,59.6,28.3,60.5,54.9,21.8,32.6,55.2,102.9,37,64.7,40.4,39.5
"2009",2009,20.3,38.4,45.8,8.5,54.6,63.2,78.20001,44,28.1,58.9,77.7,40.10001
"2010",2010,35.4,34.8,41.7,20,75,40.7,25.8,113.6,64.8,38.2,103.6,44.8
"2011",2011,34.2,33.4,22,13.8,43.6,66.9,124.4,119.4,48.7,37,5,78.3
"2012",2012,67.9,24.8,8.6,31.6,25.4,64.1,92.8,45.1,42.9,44.4,36,54.6
"2013",2013,62.8,30,18.3,20.9,79.5,68.1,34.40001,26.3,57.1,53.8,54.3,45.7
"2014",2014,42.1,28.7,18.3,42.3,64.1,53.4,64.2,81.3,49.40001,61.10001,18,91.8
"2015",2015,78.6,15.9,48.8,26.4,45.1,38.4,74.60001,46.8,51.7,36.3,87.1,44.8
"2016",2016,41.3,54.10001,28.1,36.1,24,70.7,68.7,38.7,18.6,48.1,38.8,44.6
"2017",2017,35.4,39.3,42.7,43.4,44.9,113.4,111.4,66.1,64.10001,89.8,62.8,47.8
"2018",2018,73.1,15.8,52.2,35.1,15.2,28,41.2,47,21.5,28.6,16,59.8
