"","year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1974",1974,1.5,1.8,1.3,3.6,7,11,12.9,13.8,11.5,5.5,4.2,3.4
"1975",1975,3.4,-0.7,1.1,3.5,7.6,10.8,14.9,15.8,12.8,7.1,2.1,1.8
"1976",1976,-1.7,-1.9,-1.6,2.7,8,12.1,14.8,13.2,10.7,7.5,3.9,-1.6
"1977",1977,-1.3,-0.4,2.4,3.1,7.4,12.5,13.5,13.6,9.800001,8,4.3,1.6
"1978",1978,-0.1999999,-3.3,1.3,2.1,7.5,11.9,12.8,13.3,10.3,7.8,5.3,-2
"1979",1979,-5.4,-5.2,0.2,3.1,8.5,12.5,12.1,12.8,10.4,5.4,3.1,1.6
"1980",1980,-4.8,-1.7,-0.7,2.8,5.9,11.8,13.7,13.7,11.3,6.4,2.4,0.6
"1981",1981,-2.2,-0.7,2.4,3.1,9.2,12.1,13.9,13.5,11.3,6.1,3.2,-4.4
"1982",1982,-5.2,-2.3,1.4,3.2,8,11.8,14.6,14.5,11.6,8.3,4.5,1.2
"1983",1983,3,-2.4,2.4,4.8,8.7,11.9,14.9,14.3,11.8,7.4,2.4,-0.5
"1984",1984,0.0999999,-1.1,-0.8,3.5,8.1,11.3,13.3,14.3,10.6,9,3.6,0.3
"1985",1985,-7,-6.3,0.4,3.6,7.9,11,13.9,13.4,10.4,7.6,0.3999999,1.7
"1986",1986,-2.2,-7.6,-0.2,2.5,9.1,11.7,13.9,12.7,8.900001,7,5.4,0.8
"1987",1987,-8,-2.4,-3.4,4.1,6.5,10.5,13.3,12.8,10.7,7.4,4.6,1.2
"1988",1988,2.2,1.3,0.7,3.6,8.900001,12.7,14.7,13.4,11.6,6.8,1.4,1.9
"1989",1989,2.4,2.7,3.8,4.5,8.900001,12.2,14.5,13.5,12.1,8.5,2,0.6
"1990",1990,2.6,3.8,4.4,5,9.3,13.1,13.7,14.5,10.7,7.9,3.5,0.8
"1991",1991,0.7,-3,2.7,4.2,6.8,10.6,15.1,14.7,11.5,6.4,3.4,0.8
"1992",1992,0.1999999,1.8,2.8,4.7,9.7,14.1,15.5,15,11.2,4.3,3.4,1
"1993",1993,0.0999999,-0.4,1.2,4.9,9.900001,11.8,13.2,12.5,10.1,5.9,0.2,1.5
"1994",1994,1.6,-2.6,2.3,5.2,8.2,11.5,16.7,14.9,11.9,5.7,4.9,2.4
"1995",1995,-1.2,2.4,1.1,4.3,7.8,11.7,15.3,15.3,11.7,9.400001,1.3,-3.8
"1996",1996,-3.9,-5,-1.9,3.6,7.1,11.7,12.7,14.8,9.7,7.4,3.5,-2.8
"1997",1997,-3.7,1.5,1.8,3.2,7.6,12.2,14.8,16.2,11.3,5.7,2.4,1.1
"1998",1998,1.2,3.4,1.7,5.5,9.1,12.5,13.2,13,12,7,0.5,-0.7
"1999",1999,0.7,-0.8,2.3,5.099999,8.1,11.9,15.3,14.1,13.8,7.2,3.3,1.1
"2000",2000,0.6000001,2.3,2.4,5.9,9.3,12.3,13.1,13.4,11.4,9.5,5.6,2.3
"2001",2001,0.3,-0.9,0.5,4.1,8.7,11.1,15.3,14.9,11.3,10.2,3.1,-1.1
"2002",2002,0.8,2.6,2.3,4.7,10.2,13.4,15.1,17,12.2,5.4,2.8,-2
"2003",2003,-2,-3.8,0.6,3.6,9.5,13.4,15.5,15.1,11.5,3.8,4.9,1.6
"2004",2004,-2.5,0.2,1.7,5.099999,8.6,11.4,13.2,15.4,11.5,7.9,2.9,1.9
"2005",2005,1.7,-1.4,-0.4999999,4.6,8.7,11.7,15.3,13.5,12.2,8.3,3.7,0.6
"2006",2006,-3.9,-1.2,-2.1,4.3,8.7,12.9,16.9,14.8,14,10.3,5.8,5.2
"2007",2007,3.2,1.1,3.6,5.8,9.8,13.9,14.4,14.9,11.4,6.5,3.2,2
"2008",2008,2.3,2.7,2,4.5,9.2,12.3,14.7,15.1,11,7.6,4.6,1.2
"2009",2009,-1.5,-1,2.1,5.9,8.5,10.9,15,15.1,12.2,5.7,6.1,-0.9
"2010",2010,-5.3,-2.5,0.8,4.3,7,11.4,16.9,14.8,10.8,6,2.8,-5.7
"2011",2011,-0.7,-1.9,0.8,6.599999,8.7,12.8,14.5,14.3,12.2,7.3,3.9,3
"2012",2012,0.7,-3.3,3,4.3,8.900001,11.3,14.2,14.3,11.2,6.7,4.4,-1
"2013",2013,-1.1,-1,-3.3,3.7,9.400001,12.3,15.2,14.5,11,8.799999,4.2,3.2
"2014",2014,-0.6000001,2.2,3.6,6.1,8.900001,12,16.7,13.7,13,10.3,5.700001,2.2
"2015",2015,1.6,-0.1999999,2.5,4,7.4,11.1,14.4,15.8,11.3,7,5.9,5.6
"2016",2016,-1.7,1.6,1.8,4.3,10.2,14,15.3,14,14,7.4,2.3,2.4
"2017",2017,-1.7,0.3000001,3.3,3.9,9.3,12.8,14.1,14.3,11.5,9.7,4.5,2.6
"2018",2018,1.7,-3.2,-1.7,6.4,11,13.8,16.2,15.8,12,7.9,4.2,3.4
